Link,Price_BYN,Price_USD,Model,City,Year,Type_transmission,Vol_drive,Type_fuel,Km,Type_car
https://cars.av.by/bmw/5-seriya/101319666,24906,9200,"BMW 5 серия E60, E61",Пинск,2006,механика,2.0, дизель,382000,универсал
https://cars.av.by/bmw/5-seriya/100699880,22470,8300,"BMW 5 серия E60, E61",Молодечно,2005,автомат,2.5, бензин,298000,седан
https://cars.av.by/bmw/5-seriya/101307761,27072,10000,"BMW 5 серия E60, E61",Слуцк,2004,механика,2.5, дизель,307500,седан
https://cars.av.by/bmw/5-seriya/100752599,34923,12900,"BMW 5 серия E60, E61",Мозырь,2007,автомат,3.0, дизель,411000,седан
https://cars.av.by/bmw/5-seriya/101082244,26801,9900,"BMW 5 серия E60, E61",Калинковичи,2004,автомат,2.5, дизель,290000,седан
https://cars.av.by/bmw/5-seriya/100347355,24094,8900,"BMW 5 серия E60, E61",Минск,2005,автомат,3.0, бензин,244000,седан
https://cars.av.by/bmw/5-seriya/101311112,26801,9900,"BMW 5 серия E60, E61",Минск,2008,автомат,3.5, бензин,145000,седан
https://cars.av.by/bmw/5-seriya/100610033,41420,15300,"BMW 5 серия E60, E61",Минск,2005,автомат,3.0, дизель,342700,седан
https://cars.av.by/bmw/5-seriya/101387465,37901,14000,"BMW 5 серия E60, E61",Минск,2007,автомат,3.0, дизель,375000,седан
https://cars.av.by/bmw/5-seriya/101377048,22199,8200,"BMW 5 серия E60, E61",Витебск,2003,автомат,3.0, бензин,255000,седан
https://cars.av.by/bmw/5-seriya/101385395,35058,12950,"BMW 5 серия E60, E61",Барановичи,2004,автомат,3.0, дизель,487000,седан
https://cars.av.by/bmw/5-seriya/101131476,26395,9750,"BMW 5 серия E60, E61",Могилев,2008,автомат,2.5, бензин,310000,седан
https://cars.av.by/bmw/5-seriya/100479363,27343,10100,"BMW 5 серия E60, E61",Брест,2005,механика,2.5, дизель,361000,седан
https://cars.av.by/bmw/5-seriya/101329472,25583,9450,"BMW 5 серия E60, E61",Брест,2008,механика,2.5, бензин,300000,седан
https://cars.av.by/bmw/5-seriya/100967635,33840,12500,"BMW 5 серия E60, E61",Кировск,2007,автомат,3.5, бензин,247000,седан
https://cars.av.by/bmw/5-seriya/101382612,21928,8100,"BMW 5 серия E60, E61",Гродно,2003,механика,2.2, бензин,236000,седан
https://cars.av.by/bmw/5-seriya/100848798,38442,14200,"BMW 5 серия E60, E61",Могилев,2007,автомат,3.0, дизель,242000,седан
https://cars.av.by/bmw/5-seriya/101201766,27072,10000,"BMW 5 серия E60, E61",Минск,2007,автомат,3.0, бензин,290000,седан
https://cars.av.by/bmw/5-seriya/101344869,17055,6300,"BMW 5 серия E60, E61",Лида,2005,автомат,2.2, бензин,250000,седан
https://cars.av.by/bmw/5-seriya/101013956,21658,8000,"BMW 5 серия E60, E61",Новополоцк,2004,автомат,2.2, бензин,298000,седан
https://cars.av.by/bmw/5-seriya/100436488,23011,8500,"BMW 5 серия E60, E61",Червень,2006,автомат,3.0, бензин,260000,седан
https://cars.av.by/bmw/5-seriya/101387095,24094,8900,"BMW 5 серия E60, E61",Береза,2004,автомат,3.0, бензин,210000,седан
https://cars.av.by/bmw/5-seriya/101387057,39254,14500,"BMW 5 серия E60, E61",Раков,2007,автомат,3.0, дизель,350000,седан
https://cars.av.by/bmw/5-seriya/101373192,27072,10000,"BMW 5 серия E60, E61",Минск,2005,механика,3.0, дизель,346000,седан
https://cars.av.by/bmw/5-seriya/100218646,40879,15100,"BMW 5 серия E60, E61",Минск,2004,автомат,3.0, дизель,290500,седан
https://cars.av.by/bmw/5-seriya/101352711,33840,12500,"BMW 5 серия E60, E61",Брест,2007,автомат,2.0, дизель,314000,седан
https://cars.av.by/bmw/5-seriya/101352472,26260,9700,"BMW 5 серия E60, E61",Лида,2005,автомат,2.5, дизель,359000,универсал
https://cars.av.by/bmw/5-seriya/101386541,25716,9499,"BMW 5 серия E60, E61",Гродно,2003,автомат,3.0, дизель,312000,седан
https://cars.av.by/bmw/5-seriya/101303591,37901,14000,"BMW 5 серия E60, E61",Гродно,2009,автомат,2.0, дизель,319000,седан
https://cars.av.by/bmw/5-seriya/100648971,27343,10100,"BMW 5 серия E60, E61",Минск,2006,механика,3.0, дизель,395000,седан
https://cars.av.by/bmw/5-seriya/100982822,31133,11500,"BMW 5 серия E60, E61",Минск,2007,механика,2.5, дизель,380000,седан
https://cars.av.by/bmw/5-seriya/101338311,25177,9300,"BMW 5 серия E60, E61",Минск,2006,механика,2.0, дизель,395000,седан
https://cars.av.by/bmw/5-seriya/101303086,31133,11500,"BMW 5 серия E60, E61",Гродно,2006,автомат,2.5, дизель,418000,седан
https://cars.av.by/bmw/5-seriya/101368646,25583,9450,"BMW 5 серия E60, E61",Витебск,2003,автомат,4.4, бензин,281000,седан
https://cars.av.by/bmw/5-seriya/16985944,32486,12000,"BMW 5 серия E60, E61",Мозырь,2008,механика,2.0, дизель,326000,седан
https://cars.av.by/bmw/5-seriya/101246292,35735,13200,"BMW 5 серия E60, E61",Светлогорск,2007,автомат,2.0, дизель,343000,седан
https://cars.av.by/bmw/5-seriya/101350801,30321,11200,"BMW 5 серия E60, E61",Пинск,2007,автомат,2.5, дизель,370000,седан
https://cars.av.by/bmw/5-seriya/100894893,39254,14500,"BMW 5 серия E60, E61",Минск,2004,автомат,3.5, дизель,273000,седан
https://cars.av.by/bmw/5-seriya/101198349,24906,9200,"BMW 5 серия E60, E61",Брест,2004,механика,3.0, дизель,254853,седан
https://cars.av.by/bmw/5-seriya/100810278,36818,13600,"BMW 5 серия E60, E61",Брест,2004,автомат,3.0, дизель,370000,седан
https://cars.av.by/bmw/5-seriya/101376234,20575,7600,"BMW 5 серия E60, E61",Речица,2003,механика,2.2, бензин,350000,седан
https://cars.av.by/bmw/5-seriya/100159238,29779,11000,"BMW 5 серия E60, E61",Гомель,2008,автомат,2.5, бензин,180000,седан
https://cars.av.by/bmw/5-seriya/100850223,31674,11700,"BMW 5 серия E60, E61",Мозырь,2008,автомат,3.0, бензин,265000,седан
https://cars.av.by/bmw/5-seriya/101160158,23282,8600,"BMW 5 серия E60, E61",Барановичи,2006,механика,2.5, бензин,400000,седан
https://cars.av.by/bmw/5-seriya/100970699,29238,10800,"BMW 5 серия E60, E61",Гомель,2003,автомат,3.0, дизель,340000,седан
https://cars.av.by/bmw/5-seriya/101368626,24365,9000,"BMW 5 серия E60, E61",Минск,2007,автомат,2.5, бензин,246500,седан
https://cars.av.by/bmw/5-seriya/101083101,28696,10600,"BMW 5 серия E60, E61",Минск,2005,механика,2.5, бензин,295000,седан
https://cars.av.by/bmw/5-seriya/101386144,25718,9500,"BMW 5 серия E60, E61",Минск,2004,автомат,2.5, дизель,450000,седан
https://cars.av.by/bmw/5-seriya/100968219,20304,7500,"BMW 5 серия E60, E61",Калинковичи,2003,механика,2.5, бензин,423000,седан
https://cars.av.by/bmw/5-seriya/101089682,25042,9250,"BMW 5 серия E60, E61",Воложин,2005,механика,2.5, дизель,468300,седан
https://cars.av.by/bmw/5-seriya/101359091,43315,16000,"BMW 5 серия E60, E61",Любань,2009,автомат,3.0, дизель,244444,седан
https://cars.av.by/bmw/5-seriya/101375418,37765,13950,"BMW 5 серия E60, E61",Минск,2007,автомат,3.0, бензин,312000,седан
https://cars.av.by/bmw/5-seriya/100842814,31133,11500,"BMW 5 серия E60, E61",Минск,2007,механика,3.0, дизель,483000,универсал
https://cars.av.by/bmw/5-seriya/100681876,25718,9500,"BMW 5 серия E60, E61",Витебск,2006,автомат,3.0, бензин,248000,седан
https://cars.av.by/bmw/5-seriya/100184673,41826,15450,"BMW 5 серия E60, E61",Гомель,2008,механика,3.0, бензин,318000,седан
https://cars.av.by/bmw/5-seriya/101207842,27884,10300,"BMW 5 серия E60, E61",Кировск,2004,автомат,3.0, дизель,268590,седан
https://cars.av.by/bmw/5-seriya/100895978,32486,12000,"BMW 5 серия E60, E61",Гомель,2006,автомат,2.0, дизель,360000,универсал
https://cars.av.by/bmw/5-seriya/101385936,14682,5423,"BMW 5 серия E60, E61",Могилев,2005,автомат,3.0, дизель,407897,универсал
https://cars.av.by/bmw/5-seriya/101016782,43180,15950,"BMW 5 серия E60, E61",Минск,2007,автомат,4.8, бензин,180000,седан
https://cars.av.by/bmw/5-seriya/101043790,34652,12800,"BMW 5 серия E60, E61",Минск,2007,автомат,2.0, дизель,341256,седан
https://cars.av.by/bmw/5-seriya/101217725,23011,8500,"BMW 5 серия E60, E61",Мстиславль,2005,автомат,2.5, бензин,333230,седан
https://cars.av.by/bmw/5-seriya/100697191,32486,12000,"BMW 5 серия E60, E61",Минск,2004,автомат,2.5, дизель,342000,седан
https://cars.av.by/bmw/5-seriya/100449245,30456,11250,"BMW 5 серия E60, E61",Минск,2006,автомат,3.5, дизель,300000,седан
https://cars.av.by/bmw/5-seriya/101066734,41420,15300,"BMW 5 серия E60, E61",Минск,2004,автомат,3.0, дизель,175000,универсал
https://cars.av.by/bmw/5-seriya/100703041,40337,14900,"BMW 5 серия E60, E61",Минск,2004,автомат,2.5, дизель,420000,седан
https://cars.av.by/bmw/5-seriya/100784011,31133,11500,"BMW 5 серия E60, E61",Слоним,2007,автомат,3.0, бензин,235000,седан
https://cars.av.by/bmw/5-seriya/100670754,33299,12300,"BMW 5 серия E60, E61",Гомель,2008,автомат,3.0, бензин,265000,седан
https://cars.av.by/bmw/5-seriya/101380870,32216,11900,"BMW 5 серия E60, E61",Витебск,2004,автомат,3.0, дизель,450000,седан
https://cars.av.by/bmw/5-seriya/101230204,24229,8950,"BMW 5 серия E60, E61",Минск,2005,механика,2.5, дизель,458629,универсал
https://cars.av.by/bmw/5-seriya/100860680,25177,9300,"BMW 5 серия E60, E61",Новополоцк,2005,механика,3.0, дизель,275000,универсал
https://cars.av.by/bmw/5-seriya/101344777,29644,10950,"BMW 5 серия E60, E61",Минск,2005,автомат,3.5, дизель,355000,седан
https://cars.av.by/bmw/5-seriya/101384787,29238,10800,"BMW 5 серия E60, E61",Новополоцк,2006,механика,2.5, дизель,316000,седан
https://cars.av.by/bmw/5-seriya/101384770,26260,9700,"BMW 5 серия E60, E61",Минск,2006,автомат,3.0, бензин,224000,седан
https://cars.av.by/bmw/5-seriya/101359695,29779,11000,"BMW 5 серия E60, E61",Гомель,2004,автомат,2.5, дизель,426000,седан
https://cars.av.by/bmw/5-seriya/101354559,32486,12000,"BMW 5 серия E60, E61",Витебск,2005,механика,2.5, дизель,326599,седан
https://cars.av.by/bmw/5-seriya/101384597,37297,13777,"BMW 5 серия E60, E61",Минск,2005,автомат,2.5, дизель,307500,седан
https://cars.av.by/bmw/5-seriya/101380158,29644,10950,"BMW 5 серия E60, E61",Минск,2004,автомат,3.0, дизель,337000,седан
https://cars.av.by/bmw/5-seriya/101381092,22470,8300,"BMW 5 серия E60, E61",Щучин,2005,автомат,3.0, бензин,346000,седан
https://cars.av.by/bmw/5-seriya/100743445,37089,13700,"BMW 5 серия E60, E61",Минск,2009,автомат,2.5, бензин,266000,универсал
https://cars.av.by/bmw/5-seriya/101248818,26531,9800,"BMW 5 серия E60, E61",Минск,2007,механика,3.0, бензин,256000,седан
https://cars.av.by/bmw/5-seriya/101305888,35194,13000,"BMW 5 серия E60, E61",Минск,2007,автомат,3.5, бензин,203000,седан
https://cars.av.by/bmw/5-seriya/101384305,20845,7700,"BMW 5 серия E60, E61",Минск,2006,автомат,2.5, бензин,228000,седан
https://cars.av.by/bmw/5-seriya/101016140,34590,12777,"BMW 5 серия E60, E61",Солигорск,2004,механика,3.0, дизель,298859,седан
https://cars.av.by/bmw/5-seriya/101298954,20033,7400,"BMW 5 серия E60, E61",Минск,2006,автомат,3.0, бензин,240000,седан
https://cars.av.by/bmw/5-seriya/101298749,22470,8300,"BMW 5 серия E60, E61",Гродно,2003,автомат,3.0, бензин,311000,седан
https://cars.av.by/bmw/5-seriya/101319123,30591,11300,"BMW 5 серия E60, E61",Молодечно,2007,механика,3.0, дизель,280000,универсал
https://cars.av.by/bmw/5-seriya/101215583,22199,8200,"BMW 5 серия E60, E61",Минск,2005,автомат,2.5, бензин,380000,седан
https://cars.av.by/bmw/5-seriya/100591330,29508,10900,"BMW 5 серия E60, E61",Минск,2004,автомат,3.0, дизель,323000,универсал
https://cars.av.by/bmw/5-seriya/100548031,30727,11350,"BMW 5 серия E60, E61",Шклов,2003,механика,3.0, дизель,415000,седан
